order,list,item,condition,target_num,comp_num,sentence,firstDisplay,secondDisplay,expTrials
6,1,X80,9,singular,plural,The daisy is on Number 5 and it is next to the lifeguard.,X80_9_1.jpg,X80_9_2.jpg,N
6,2,X80,9,singular,plural,The daisy is on Number 5 and it is next to the lifeguard.,X80_9_1.jpg,X80_9_2.jpg,N
6,3,X80,9,singular,plural,The daisy is on Number 5 and it is next to the lifeguard.,X80_9_1.jpg,X80_9_2.jpg,N
6,4,X80,9,singular,plural,The daisy is on Number 5 and it is next to the lifeguard.,X80_9_1.jpg,X80_9_2.jpg,N
7,1,P6,9,singular,,The cricketer is below the pipe and he is on Number 5.,P6_1.jpg,P6_2.jpg,N
7,2,P6,9,singular,,The cricketer is below the pipe and he is on Number 5.,P6_1.jpg,P6_2.jpg,N
7,3,P6,9,singular,,The cricketer is below the pipe and he is on Number 5.,P6_1.jpg,P6_2.jpg,N
7,4,P6,9,singular,,The cricketer is below the pipe and he is on Number 5.,P6_1.jpg,P6_2.jpg,N
8,1,22,1,plural,singular,The grandfathers below the boy are on Number 4.,E22_1_1.jpg,E22_1_2.jpg,Y
8,2,22,3,plural,plural,The grandfathers below the boys are on Number 4.,E22_3_1.jpg,E22_3_2.jpg,Y
8,3,22,4,plural,plural,The grandfathers below the girls are on Number 4.,E22_4_1.jpg,E22_4_2.jpg,Y
8,4,22,2,plural,singular,The grandfathers below the girl are on Number 4.,E22_2_1.jpg,E22_2_2.jpg,Y
9,1,X20,9,plural,singular,The diamonds are next to the earth and they are on Number 6.,X20_9_1.jpg,X20_9_2.jpg,N
9,2,X20,9,plural,singular,The diamonds are next to the earth and they are on Number 6.,X20_9_1.jpg,X20_9_2.jpg,N
9,3,X20,9,plural,singular,The diamonds are next to the earth and they are on Number 6.,X20_9_1.jpg,X20_9_2.jpg,N
9,4,X20,9,plural,singular,The diamonds are next to the earth and they are on Number 6.,X20_9_1.jpg,X20_9_2.jpg,N
10,1,X62,9,singular,,The mechanic is above the tyre and he is on Number 5.,X62_9_1.jpg,X62_9_2.jpg,N
10,2,X62,9,singular,,The mechanic is above the tyre and he is on Number 5.,X62_9_1.jpg,X62_9_2.jpg,N
10,3,X62,9,singular,,The mechanic is above the tyre and he is on Number 5.,X62_9_1.jpg,X62_9_2.jpg,N
10,4,X62,9,singular,,The mechanic is above the tyre and he is on Number 5.,X62_9_1.jpg,X62_9_2.jpg,N
11,1,25,4,plural,plural,The fairies below the kings are on Number 4.,E25_4_1.jpg,E25_4_2.jpg,Y
11,2,25,2,plural,singular,The fairies below the king are on Number 4.,E25_2_1.jpg,E25_2_2.jpg,Y
11,3,25,1,plural,singular,The fairies below the queen are on Number 4.,E25_1_1.jpg,E25_1_2.jpg,Y
11,4,25,3,plural,plural,The fairies below the queens are on Number 4.,E25_3_1.jpg,E25_3_2.jpg,Y
12,1,X38,9,singular,,The horses are on Number 5 and they are on the row below the sponge.,X38_9_1.jpg,X38_9_2.jpg,N
12,2,X38,9,singular,,The horses are on Number 5 and they are on the row below the sponge.,X38_9_1.jpg,X38_9_2.jpg,N
12,3,X38,9,singular,,The horses are on Number 5 and they are on the row below the sponge.,X38_9_1.jpg,X38_9_2.jpg,N
12,4,X38,9,singular,,The horses are on Number 5 and they are on the row below the sponge.,X38_9_1.jpg,X38_9_2.jpg,N
13,1,37,3,plural,plural,The barbers next to the grooms are on Number 3.,E37_3_1.jpg,E37_3_2.jpg,Y
13,2,37,1,plural,singular,The barbers next to the groom are on Number 3.,E37_1_1.jpg,E37_1_2.jpg,Y
13,3,37,2,plural,singular,The barbers next to the bride are on Number 3.,E37_2_1.jpg,E37_2_2.jpg,Y
13,4,37,4,plural,plural,The barbers next to the brides are on Number 3.,E37_4_1.jpg,E37_4_2.jpg,Y
14,1,X69,9,singular,singular,The backpacker is below the pot and he is on Number 4.,X69_9_1.jpg,X69_9_2.jpg,N
14,2,X69,9,singular,singular,The backpacker is below the pot and he is on Number 4.,X69_9_1.jpg,X69_9_2.jpg,N
14,3,X69,9,singular,singular,The backpacker is below the pot and he is on Number 4.,X69_9_1.jpg,X69_9_2.jpg,N
14,4,X69,9,singular,singular,The backpacker is below the pot and he is on Number 4.,X69_9_1.jpg,X69_9_2.jpg,N
15,1,24,2,plural,singular,The cashiers next to the prince are on Number 2.,E24_2_1.jpg,E24_2_2.jpg,Y
15,2,24,4,plural,plural,The cashiers next to the princes are on Number 2.,E24_4_1.jpg,E24_4_2.jpg,Y
15,3,24,3,plural,plural,The cashiers next to the princesses are on Number 2.,E24_3_1.jpg,E24_3_2.jpg,Y
15,4,24,1,plural,singular,The cashiers next to the princess are on Number 2.,E24_1_1.jpg,E24_1_2.jpg,Y
16,1,X27,9,singular,plural,The olives are above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
16,2,X27,9,singular,plural,The olives are above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
16,3,X27,9,singular,plural,The olives are above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
16,4,X27,9,singular,plural,The olives are above the cat.,X27_9_1.jpg,X27_9_2.jpg,N
17,1,P5,9,plural,,The tractors are on Number 4 and they are below the wheelbarrow.,P5_1.jpg,P5_2.jpg,N
17,2,P5,9,plural,,The tractors are on Number 4 and they are below the wheelbarrow.,P5_1.jpg,P5_2.jpg,N
17,3,P5,9,plural,,The tractors are on Number 4 and they are below the wheelbarrow.,P5_1.jpg,P5_2.jpg,N
17,4,P5,9,plural,,The tractors are on Number 4 and they are below the wheelbarrow.,P5_1.jpg,P5_2.jpg,N
18,1,15,1,plural,singular,The priests next to the waiter are on Number 5.,E15_1_1.jpg,E15_1_2.jpg,Y
18,2,15,3,plural,plural,The priests next to the waiters are on Number 5.,E15_3_1.jpg,E15_3_2.jpg,Y
18,3,15,2,plural,singular,The priests next to the waitress are on Number 5.,E15_2_1.jpg,E15_2_2.jpg,Y
18,4,15,4,plural,plural,The priests next to the waitresses are on Number 5.,E15_4_1.jpg,E15_4_2.jpg,Y
19,1,X31,9,singular,singular,The socket is next to the detective and he is on Number 2.,X31_9_1.jpg,X31_9_2.jpg,N
19,2,X31,9,singular,singular,The socket is next to the detective and he is on Number 2.,X31_9_1.jpg,X31_9_2.jpg,N
19,3,X31,9,singular,singular,The socket is next to the detective and he is on Number 2.,X31_9_1.jpg,X31_9_2.jpg,N
19,4,X31,9,singular,singular,The socket is next to the detective and he is on Number 2.,X31_9_1.jpg,X31_9_2.jpg,N
20,1,X15,9,singular,plural,"The train is on Number 4, and it is below the cameras.",X15_9_1.jpg,X15_9_2.jpg,N
20,2,X15,9,singlar,plural,"The train is on Number 4, and it is below the cameras.",X15_9_1.jpg,X15_9_2.jpg,N
20,3,X15,9,singlar,plural,"The train is on Number 4, and it is below the cameras.",X15_9_1.jpg,X15_9_2.jpg,N
20,4,X15,9,singlar,plural,"The train is on Number 4, and it is below the cameras.",X15_9_1.jpg,X15_9_2.jpg,N
21,1,31,3,plural,plural,The ballerinas next to the fortune-tellers are on Number 6.,E31_3_1.jpg,E31_3_2.jpg,Y
21,2,31,1,plural,singular,The ballerinas next to the fortune-teller are on Number 6.,E31_1_1.jpg,E31_1_2.jpg,Y
21,3,31,4,plural,plural,The ballerinas next to the sheriffs are on Number 6.,E31_4_1.jpg,E31_4_2.jpg,Y
21,4,31,2,plural,singular,The ballerinas next to the sheriff are on Number 6.,E31_2_1.jpg,E31_2_2.jpg,Y
22,1,X79,9,singular,,The light bulb is on Number 5.,X79_9_1.jpg,X79_9_2.jpg,N
22,2,X79,9,singular,,The light bulb is on Number 5.,X79_9_1.jpg,X79_9_2.jpg,N
22,3,X79,9,singular,,The light bulb is on Number 5.,X79_9_1.jpg,X79_9_2.jpg,N
22,4,X79,9,singular,,The light bulb is on Number 5.,X79_9_1.jpg,X79_9_2.jpg,N
23,1,X52,9,plural,singular,"On the row above the dog, there are goats and they are on Number 3.",X52_9_1.jpg,X52_9_2.jpg,N
23,2,X52,9,plural,singular,"On the row above the dog, there are goats and they are on Number 3.",X52_9_1.jpg,X52_9_2.jpg,N
23,3,X52,9,plural,singular,"On the row above the dog, there are goats and they are on Number 3.",X52_9_1.jpg,X52_9_2.jpg,N
23,4,X52,9,plural,singular,"On the row above the dog, there are goats and they are on Number 3.",X52_9_1.jpg,X52_9_2.jpg,N
24,1,4,2,plural,singular,The bricklayers below the princess are on Number 4.,E04_2_1.jpg,E04_2_2.jpg,Y
24,2,4,4,plural,plural,The bricklayers below the princesses are on Number 4.,E04_4_1.jpg,E04_4_2.jpg,Y
24,3,4,3,plural,plural,The bricklayers below the princes are on Number 4.,E04_3_1.jpg,E04_3_2.jpg,Y
24,4,4,1,plural,singular,The bricklayers below the prince are on Number 4.,E04_1_1.jpg,E04_1_2.jpg,Y
25,1,X26,9,singular,singular,The dancer is below the pine tree and he is on Number 4.,X26_9_1.jpg,X26_9_2.jpg,N
25,2,X26,9,singular,singular,The dancer is below the pine tree and he is on Number 4.,X26_9_1.jpg,X26_9_2.jpg,N
25,3,X26,9,singular,singular,The dancer is below the pine tree and he is on Number 4.,X26_9_1.jpg,X26_9_2.jpg,N
25,4,X26,9,singular,singular,The dancer is below the pine tree and he is on Number 4.,X26_9_1.jpg,X26_9_2.jpg,N
26,1,X08,9,plural,,The spoons are on the row above the sheep and they are on Number 2.,X08_9_1.jpg,X08_9_2.jpg,N
26,2,X08,9,plural,,The spoons are on the row above the sheep and they are on Number 2.,X08_9_1.jpg,X08_9_2.jpg,N
26,3,X08,9,plural,,The spoons are on the row above the sheep and they are on Number 2.,X08_9_1.jpg,X08_9_2.jpg,N
26,4,X08,9,plural,,The spoons are on the row above the sheep and they are on Number 2.,X08_9_1.jpg,X08_9_2.jpg,N
27,1,2,4,plural,plural,The sailors above the queens are on Number 2.,E02_4_1.jpg,E02_4_2.jpg,Y
27,2,2,2,plural,singular,The sailors above the queen are on Number 2.,E02_2_1.jpg,E02_2_2.jpg,Y
27,3,2,1,plural,singular,The sailors above the king are on Number 2.,E02_1_1.jpg,E02_1_2.jpg,Y
27,4,2,3,plural,plural,The sailors above the kings are on Number 2.,E02_3_1.jpg,E02_3_2.jpg,Y
28,1,X09,9,singular,singular,The delivery man is on Number 4 and he is on the same line as the hand.,X09_9_1.jpg,X09_9_2.jpg,N
28,2,X09,9,singular,singular,The delivery man is on Number 4 and he is on the same line as the hand.,X09_9_1.jpg,X09_9_2.jpg,N
28,3,X09,9,singular,singular,The delivery man is on Number 4 and he is on the same line as the hand.,X09_9_1.jpg,X09_9_2.jpg,N
28,4,X09,9,singular,singular,The delivery man is on Number 4 and he is on the same line as the hand.,X09_9_1.jpg,X09_9_2.jpg,N
29,1,X13,9,singular,,There is a baker and he is on Number 3.,X13_9_1.jpg,X13_9_2.jpg,N
29,2,X13,9,singular,,There is a baker and he is on Number 3.,X13_9_1.jpg,X13_9_2.jpg,N
29,3,X13,9,singular,,There is a baker and he is on Number 3.,X13_9_1.jpg,X13_9_2.jpg,N
29,4,X13,9,singular,,There is a baker and he is on Number 3.,X13_9_1.jpg,X13_9_2.jpg,N
30,1,5,1,plural,singular,The secretaries below the countess are on Number 6.,E05_1_1.jpg,E05_1_2.jpg,Y
30,2,5,3,plural,plural,The secretaries below the countesses are on Number 6.,E05_3_1.jpg,E05_3_2.jpg,Y
30,3,5,2,plural,singular,The secretaries below the knight are on Number 6.,E05_2_1.jpg,E05_2_2.jpg,Y
30,4,5,4,plural,plural,The secretaries below the knights are on Number 6.,E05_4_1.jpg,E05_4_2.jpg,Y
31,1,X32,9,plural,singular,There are some cherries and they are on the same line as the giraffe.,X32_9_1.jpg,X32_9_2.jpg,N
31,2,X32,9,plural,singular,There are some cherries and they are on the same line as the giraffe.,X32_9_1.jpg,X32_9_2.jpg,N
31,3,X32,9,plural,singular,There are some cherries and they are on the same line as the giraffe.,X32_9_1.jpg,X32_9_2.jpg,N
31,4,X32,9,plural,singular,There are some cherries and they are on the same line as the giraffe.,X32_9_1.jpg,X32_9_2.jpg,N
32,1,X24,9,singular,,The cat is on Number 4.,X24_9_1.jpg,X24_9_2.jpg,N
32,2,X24,9,singular,,The cat is on Number 4.,X24_9_1.jpg,X24_9_2.jpg,N
32,3,X24,9,singular,,The cat is on Number 4.,X24_9_1.jpg,X24_9_2.jpg,N
32,4,X24,9,singular,,The cat is on Number 4.,X24_9_1.jpg,X24_9_2.jpg,N
33,1,40,4,plural,plural,The grooms next to the hairdressers are on Number 3.,E40_4_1.jpg,E40_4_2.jpg,Y
33,2,40,2,plural,singular,The grooms next to the hairdresser are on Number 3.,E40_2_1.jpg,E40_2_2.jpg,Y
33,3,40,1,plural,singular,The grooms next to the barber are on Number 3.,E40_1_1.jpg,E40_1_2.jpg,Y
33,4,40,3,plural,plural,The grooms next to the barbers are on Number 3.,E40_3_1.jpg,E40_3_2.jpg,Y
34,1,X40,9,singular,,There is a thief below the swing and he is on Number 4.,X40_9_1.jpg,X40_9_2.jpg,N
34,2,X40,9,singular,,There is a thief below the swing and he is on Number 4.,X40_9_1.jpg,X40_9_2.jpg,N
34,3,X40,9,singular,,There is a thief below the swing and he is on Number 4.,X40_9_1.jpg,X40_9_2.jpg,N
34,4,X40,9,singular,,There is a thief below the swing and he is on Number 4.,X40_9_1.jpg,X40_9_2.jpg,N
35,1,X02,9,plural,,The keyboards are on Number 3.,X02_9_1.jpg,X02_9_2.jpg,N
35,2,X02,9,plural,,The keyboards are on Number 3.,X02_9_1.jpg,X02_9_2.jpg,N
35,3,X02,9,plural,,The keyboards are on Number 3.,X02_9_1.jpg,X02_9_2.jpg,N
35,4,X02,9,plural,,The keyboards are on Number 3.,X02_9_1.jpg,X02_9_2.jpg,N
36,1,3,2,plural,singular,The girls next to the grandfather are on Number 1.,E03_2_1.jpg,E03_2_2.jpg,Y
36,2,3,4,plural,plural,The girls next to the grandfathers are on Number 1.,E03_4_1.jpg,E03_4_2.jpg,Y
36,3,3,3,plural,plural,The girls next to the grandmothers are on Number 1.,E03_3_1.jpg,E03_3_2.jpg,Y
36,4,3,1,plural,singular,The girls next to the grandmother are on Number 1.,E03_1_1.jpg,E03_1_2.jpg,Y
37,1,X56,9,singlar,,The cards are below the Viking and they are on Number 4.,X56_9_1.jpg,X56_9_2.jpg,N
37,2,X56,9,singlar,,The cards are below the Viking and they are on Number 4.,X56_9_1.jpg,X56_9_2.jpg,N
37,3,X56,9,singlar,,The cards are below the Viking and they are on Number 4.,X56_9_1.jpg,X56_9_2.jpg,N
37,4,X56,9,singlar,,The cards are below the Viking and they are on Number 4.,X56_9_1.jpg,X56_9_2.jpg,N
38,1,X17,9,singlar,singular,The chef is on the same row as the charger and he is on Number 4.,X17_9_1.jpg,X17_9_2.jpg,N
38,2,X17,9,singlar,singular,The chef is on the same row as the charger and he is on Number 4.,X17_9_1.jpg,X17_9_2.jpg,N
38,3,X17,9,singlar,singular,The chef is on the same row as the charger and he is on Number 4.,X17_9_1.jpg,X17_9_2.jpg,N
38,4,X17,9,singlar,singular,The chef is on the same row as the charger and he is on Number 4.,X17_9_1.jpg,X17_9_2.jpg,N
39,1,18,3,plural,plural,The nurses above the stewardesses are on Number 3.,E18_3_1.jpg,E18_3_2.jpg,Y
39,2,18,1,plural,singular,The nurses above the stewardess are on Number 3.,E18_1_1.jpg,E18_1_2.jpg,Y
39,3,18,4,plural,plural,The nurses above the pilots are on Number 3.,E18_4_1.jpg,E18_4_2.jpg,Y
39,4,18,2,plural,singular,The nurses above the pilot are on Number 3.,E18_2_1.jpg,E18_2_2.jpg,Y
40,1,X19,9,singular,,The turtle is on Number 5 and it is next to the gardener.,X19_9_1.jpg,X19_9_2.jpg,N
40,2,X19,9,singular,,The turtle is on Number 5 and it is next to the gardener.,X19_9_1.jpg,X19_9_2.jpg,N
40,3,X19,9,singular,,The turtle is on Number 5 and it is next to the gardener.,X19_9_1.jpg,X19_9_2.jpg,N
40,4,X19,9,singular,,The turtle is on Number 5 and it is next to the gardener.,X19_9_1.jpg,X19_9_2.jpg,N
41,1,X21,9,plural,,There are rabbits on Number 3.,X21_9_1.jpg,X21_9_2.jpg,N
41,2,X21,9,plural,,There are rabbits on Number 3.,X21_9_1.jpg,X21_9_2.jpg,N
41,3,X21,9,plural,,There are rabbits on Number 3.,X21_9_1.jpg,X21_9_2.jpg,N
41,4,X21,9,plural,,There are rabbits on Number 3.,X21_9_1.jpg,X21_9_2.jpg,N
42,1,16,4,plural,plural,The footballers above the housekeepers are on Number 1.,E16_4_1.jpg,E16_4_2.jpg,Y
42,2,16,2,plural,singular,The footballers above the housekeeper are on Number 1.,E16_2_1.jpg,E16_2_2.jpg,Y
42,3,16,3,plural,plural,The footballers above the soldiers are on Number 1.,E16_3_1.jpg,E16_3_2.jpg,Y
42,4,16,1,plural,singular,The footballers above the soldier are on Number 1.,E16_1_1.jpg,E16_1_2.jpg,Y
43,1,X10,9,singular,,The dolls are on Number 6 and they are on the same row as the electrician.,X10_9_1.jpg,X10_9_2.jpg,N
43,2,X10,9,singular,,The dolls are on Number 6 and they are on the same row as the electrician.,X10_9_1.jpg,X10_9_2.jpg,N
43,3,X10,9,singular,,The dolls are on Number 6 and they are on the same row as the electrician.,X10_9_1.jpg,X10_9_2.jpg,N
43,4,X10,9,singular,,The dolls are on Number 6 and they are on the same row as the electrician.,X10_9_1.jpg,X10_9_2.jpg,N
44,1,X25,9,plural,,There are matches and they are on Number 5.,X25_9_1.jpg,X25_9_2.jpg,N
44,2,X25,9,plural,,There are matches and they are on Number 5.,X25_9_1.jpg,X25_9_2.jpg,N
44,3,X25,9,plural,,There are matches and they are on Number 5.,X25_9_1.jpg,X25_9_2.jpg,N
44,4,X25,9,plural,,There are matches and they are on Number 5.,X25_9_1.jpg,X25_9_2.jpg,N
45,1,36,2,plural,singular,The florists below the wizard are on Number 4.,E36_2_1.jpg,E36_2_2.jpg,Y
45,2,36,4,plural,plural,The florists below the wizards are on Number 4.,E36_4_1.jpg,E36_4_2.jpg,Y
45,3,36,1,plural,singular,The florists below the witch are on Number 4.,E36_1_1.jpg,E36_1_2.jpg,Y
45,4,36,3,plural,plural,The florists below the witches are on Number 4.,E36_3_1.jpg,E36_3_2.jpg,Y
46,1,X28,9,singular,,On Number 3 there is a bag.,X28_9_1.jpg,X28_9_2.jpg,N
46,2,X28,9,singular,,On Number 3 there is a bag.,X28_9_1.jpg,X28_9_2.jpg,N
46,3,X28,9,singular,,On Number 3 there is a bag.,X28_9_1.jpg,X28_9_2.jpg,N
46,4,X28,9,singular,,On Number 3 there is a bag.,X28_9_1.jpg,X28_9_2.jpg,N
47,1,X72,9,plural,singular,The kennel is next to the roosters and it is on Number 6.,X72_9_1.jpg,X72_9_2.jpg,N
47,2,X72,9,plural,singular,The kennel is next to the roosters and it is on Number 6.,X72_9_1.jpg,X72_9_2.jpg,N
